STA,StationName,Elevation,Latitude,Longitude,NearbyCity,HydroNo,BasinNo,Owner,Maintenance,Operator,MapNo,CollectNo,CountyName,BasinName,AgencyName,HydroArea,Sensors
KTL,KETTLE ROCK,7300,40.14,-120.715,GREENVILLE,5,7301,703,703,703,10,0,PLUMAS,FEATHER RIVER,CA Dept of Water Resources/Operations and Maintenance,SACRAMENTO RIVER,"2,3,4,14,18,30,31,32,45,82"
KUB,UPPER BULL,8073,36.9669,-119.0566,SHAVER LAKE,7,9401,91,91,91,0,2,FRESNO,KINGS RIVER,Kings River Water Association,TULARE LAKE,"2,3,4,9,10,12,14,16,18,30,31,32,77,78,82,115,147,245,246,247"
KUP,UPPER PROVIDENCE,5611,37.061,-119.183,SHAVER LAKE,7,9401,999,91,91,0,2,FRESNO,KINGS RIVER,Kings River Water Association,TULARE LAKE,"2,3,4,9,10,12,14,16,18,30,31,32,77,78,82,115,147,245,246,247"
LBD,LOBDELL LAKE,9200,38.44,-119.377,BRIDGEPORT,8,10801,54,54,54,19,0,MONO,WALKER RIVER,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,82"
LLP,LOWER LASSEN PEAK,8338,40.46660233,-121.50811,MINERAL,5,7301,702,702,702,999,0,SHASTA,FEATHER RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,SACRAMENTO RIVER,"3,4,9,10,12,14,16,18,26,30,31,32,77,78,82,96,97,98,99,103,104,105,106,107,108,115,147"
LOS,LAKE LOIS,8600,38.92103577,-120.2044449,SOUTH LAKE TAHOE,5,7701,702,702,702,999,0,EL DORADO,AMERICAN RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,SACRAMENTO RIVER,"3,4,9,10,12,14,18,30,31,32,77,78,82,103,104,105,106,107,108"
LVM,LEAVITT MEADOWS,7200,38.305,-119.552,BRIDGEPORT,8,10801,54,54,54,19,0,MONO,WALKER RIVER,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,82"
LVT,LEAVITT LAKE,9600,38.282,-119.621,DARDANELLE,8,10801,54,54,54,19,0,MONO,WALKER RIVER,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,45,82"
MB3,MIDDLE BOULDER 3,6200,41.22483826,-122.80616,CALLAHAN,1,601,50,702,50,999,0,SISKIYOU,SCOTT RIVER,US Bureau of Reclamation,NORTH COAST,"3,4,14,18,30,31,32,45,73,82"
MDW,MEADOW LAKE,7200,39.40566254,-120.5060577,CISCO,5,7401,702,702,702,999,0,NEVADA,YUBA RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,SACRAMENTO RIVER,"3,4,9,10,12,14,17,18,26,30,31,32,82,96,97,98,99,103,104,105,116,246,247"
MED,MEDICINE LAKE,6700,41.5913887,-121.6108322,BARTLE,5,6701,50,702,50,999,0,SISKIYOU,PIT RIVER,US Bureau of Reclamation,SACRAMENTO RIVER,"2,3,4,14,18,45,82"
MHP,MAMMOTH PASS (USBR),9300,37.61240005,-119.0317459,MAMMOTH LAKES,9,11001,50,702,50,999,0,MONO,OWENS RIVER,US Bureau of Reclamation,SOUTH LAHONTAN,"2,3,4,14,16,18,30,31,32,45,73,82"
MNT,MONITOR PASS,8350,38.67,-119.615,MARKLEEVILLE,8,10701,54,54,54,19,0,ALPINE,CARSON RIVER,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,82"
MRL,MARLETTE LAKE,8000,39.173,-119.905,INCLINE VILLAGE,8,10601,54,54,54,99,0,State of Nevada,LAKE TAHOE,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,82"
MSK,MOUNT ROSE SKI AREA,8900,39.326,-119.902,TAHOE CITY,8,10601,54,54,54,99,0,State of Nevada,LAKE TAHOE,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,82"
MTM,MITCHELL MEADOW,10026,36.73615,-118.712167,GIANT FOREST,7,9401,999,361,56,0,0,TULARE,KINGS RIVER,US Army Corps of Engineers,TULARE LAKE,"3,4,18,30,31,32,82"
MUM,MUMBO BASIN,5650,41.19781876,-122.5259628,MOUNT SHASTA CITY,1,901,50,702,50,999,0,TRINITY,TRINITY RIVER,US Bureau of Reclamation,NORTH COAST,"2,3,4,12,14,16,18,30,31,32,45,82"
NLS,NOEL SPRING,5100,39.538,-122.667,ELK CREEK,1,7251,56,56,56,12,0,GLENN,STONY CREEK,US Army Corps of Engineers,NORTH COAST,"2,3,4,18,30,31,32,45,82"
PDS,PARADISE MEADOW,7650,38.046117,-119.671748,MATHER,6,8601,702,702,702,0,0,TUOLUMNE,TUOLUMNE RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,SAN JOAQUIN RIVER,"3,4,9,10,12,14,16,18,30,31,32,77,82,106,194,195,196,197,198,199,245,246,247"
PET,PETERSON FLAT,7150,41.30221939,-122.5277786,TRINITY CENTER,1,901,50,702,50,999,0,TRINITY,TRINITY RIVER,US Bureau of Reclamation,NORTH COAST,"2,3,4,12,14,16,18,30,31,32,45,82"
PLP,PILOT PEAK (DWR),6800,39.78589249,-120.8777771,QUINCY,5,7301,701,701,703,999,0,PLUMAS,FEATHER RIVER,CA Dept of Water Resources/Operations and Maintenance,SACRAMENTO RIVER,"2,3,4,14,18,45,82,237,238"
PSC,PASCOES,9120,35.961533,-118.357617,PASCOES,7,9701,56,361,56,0,0,TULARE,KERN RIVER,US Army Corps of Engineers,TULARE LAKE,"2,3,4,14,18,25,30,31,32,45,82,96,97,98,99,203"
PSN,POISON FLAT,7900,38.501,-119.631,BRIDGEPORT,8,10701,54,54,54,19,0,ALPINE,CARSON RIVER,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,82"
PSR,POISON RIDGE,6900,37.40282059,-119.520813,BASS LAKE,6,9001,50,702,50,999,0,MADERA,SAN JOAQUIN RIVER,US Bureau of Reclamation,SAN JOAQUIN RIVER,"2,3,4,14,16,18,45,82"
QUA,QUAKING ASPEN,7200,36.11750793,-118.5399933,CAMP NELSON,7,9601,702,702,702,999,0,TULARE,TULE RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,TULARE LAKE,"2,3,4,9,10,12,14,18,30,31,32,45,82,103,104,105,247"
RBB,ROBBS SADDLE,5900,38.911534,-120.379299,KYBURZ,5,7701,999,85,85,17,0,EL DORADO,AMERICAN RIVER,Sacramento Municipal Utility District,SACRAMENTO RIVER,"2,3,4,30,31,32,82"
RBP,ROBBS POWERHOUSE,5150,38.90238,-120.376543,KYBURZ,5,7701,999,85,85,17,0,EL DORADO,AMERICAN RIVER,Sacramento Municipal Utility District,SACRAMENTO RIVER,"2,3,4,30,31,32,82"
RCC,ROBINSON COW CAMP,6480,39.62186432,-120.6798706,DOWNIEVILLE,5,7401,702,702,702,999,0,SIERRA,YUBA RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,SACRAMENTO RIVER,"3,4,9,10,12,14,18,31,32,77,78,82,246,247"
RCK,ROCK CREEK LAKES,9700,37.45727539,-118.7350235,TOM'S PLACE,9,11001,702,702,702,999,0,INYO,OWENS RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,SOUTH LAHONTAN,"3,4,9,10,12,14,18,30,31,32,82"
REL,LOWER RELIEF VALLEY,8100,38.2429167,-119.7629167,PINECREST,6,8501,702,702,702,18,0,TUOLUMNE,STANISLAUS RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,SAN JOAQUIN RIVER,"3,4,12,14,18,30,31,32,82"
RP2,RUBICON PEAK 2,7500,39.001,-120.14,SOUTH LAKE TAHOE,8,10601,54,54,54,14,0,EL DORADO,LAKE TAHOE,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,82"
RRM,RED ROCK MOUNTAIN,6700,41.02362061,-122.8866272,TRINITY CENTER,1,901,50,702,50,999,0,TRINITY,TRINITY RIVER,US Bureau of Reclamation,NORTH COAST,"3,4,14,18,82"
RTL,RATTLESNAKE,6210,40.12791,-121.04397,GREENVILLE,5,7301,999,999,703,0,0,PLUMAS,FEATHER RIVER,CA Dept of Water Resources/Operations and Maintenance,SACRAMENTO RIVER,"2,3,4,14,30,31,32,45,82"
SCN,SCHNEIDERS,8750,38.747,-120.068,KIRKWOOD,5,7701,999,999,85,18,0,EL DORADO,AMERICAN RIVER,Sacramento Municipal Utility District,SACRAMENTO RIVER,"2,3,4,30,31,32,82"
SCT,SCOTT MOUNTAIN,5900,41.27220154,-122.7194824,CALLAHAN,1,601,50,702,50,999,0,SISKIYOU,SCOTT RIVER,US Bureau of Reclamation,NORTH COAST,"2,3,4,14,18,30,31,32,45,82"
SDF,SAND FLAT,6750,41.3502388,-122.2465286,MOUNT SHASTA CITY,5,6501,50,702,50,999,0,SISKIYOU,SACRAMENTO RIVER,US Bureau of Reclamation,SACRAMENTO RIVER,"2,3,4,12,14,16,18,30,31,32,45,82"
SDW,SUMMIT MEADOW,9313,38.3975,-119.5356,SONORA JUNCTION,8,10801,54,54,54,19,0,MONO,WALKER RIVER,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,82"
SHM,SHIMMY LAKE,6400,41.00529861,-122.8015976,TRINITY CENTER,1,901,50,702,50,999,0,TRINITY,TRINITY RIVER,US Bureau of Reclamation,NORTH COAST,"3,4,14,18,82"
SIL,SILVER LAKE,7100,38.67960358,-120.1181946,KIT CARSON,5,7701,50,702,50,999,0,EL DORADO,AMERICAN RIVER,US Bureau of Reclamation,SACRAMENTO RIVER,"2,3,4,12,14,18,30,31,32,45,82"
SLI,SLIDE CANYON,9200,38.091234,-119.431881,LEE VINING,6,8601,702,52,702,0,0,TUOLUMNE,TUOLUMNE RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,SAN JOAQUIN RIVER,"3,4,9,10,12,14,18,26,30,31,32,82,106,194,195,196,197,198,199,246"
SLK,SOUTH LAKE,9600,37.17590332,-118.5626602,BISHOP,9,11001,702,702,702,999,0,INYO,OWENS RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,SOUTH LAHONTAN,"2,3,4,9,10,12,14,18,30,31,32,77,78,82,103,104,105,115"
SLM,STANISLAUS MEADOW,7750,38.5055,-119.9373,BEAR VALLEY,6,8501,50,702,50,19,0,ALPINE,STANISLAUS RIVER,US Bureau of Reclamation,SAN JOAQUIN RIVER,"2,3,4,12,14,16,18,30,31,32,45,73,82,194,195,196,197,198,199,271"
SLT,SLATE CREEK,5700,41.04397964,-122.4801025,CASTELLA,5,6501,50,702,50,999,0,SHASTA,SACRAMENTO RIVER,US Bureau of Reclamation,SACRAMENTO RIVER,"2,3,4,14,16,18,30,31,32,45,82"
SNM,SNOW MOUNTAIN,5950,40.77880859,-121.7826767,BURNEY,5,6701,50,702,50,999,0,SHASTA,PIT RIVER,US Bureau of Reclamation,SACRAMENTO RIVER,"2,3,4,14,16,18,30,31,32,45,82"
SPS,SONORA PASS BRIDGE,8750,38.318,-119.601,BRIDGEPORT,8,10801,54,54,54,19,0,MONO,WALKER RIVER,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,45,82"
SPT,SPRATT CREEK,6150,38.66627,-119.81742,MARKLEEVILLE,8,10701,54,54,54,18,0,ALPINE,CARSON RIVER,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,82"
SQV,PALISADES TAHOE SNOTEL,8200,39.194,-120.276,TAHOE CITY,8,10501,54,54,54,14,0,PLACER,TRUCKEE RIVER,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,82"
SSM,SUNNYSIDE MEADOW,6300,39.69813156,-120.7822113,,5,7401,83,702,83,999,0,SIERRA,YUBA RIVER,Yuba Water Agency,SACRAMENTO RIVER,"3,4,9,10,12,14,18,30,31,32,82,194,195,196,197,198,199,246,247"
STL,STATE LAKES,10400,36.926483,-118.57325,CEDAR GROVE,7,9401,56,361,56,0,0,FRESNO,KINGS RIVER,US Army Corps of Engineers,TULARE LAKE,"2,3,4,9,10,12,14,17,18,30,31,32,73,82,246,247"
STM,STOUTS MEADOW,5400,41.16913986,-121.939827,MCCLOUD,5,6601,50,702,50,999,0,SHASTA,MC CLOUD RIVER,US Bureau of Reclamation,SACRAMENTO RIVER,"2,3,4,12,14,16,18,30,31,32,45,82"
STR,OSTRANDER LAKE,8200,37.63661,-119.55333,WAWONA,6,8701,702,702,702,0,0,MARIPOSA,MERCED RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,SAN JOAQUIN RIVER,"2,3,4,9,10,12,14,16,18,26,31,32,45,77,78,82,103,104,105,106,107,108,115,197,198,246"
SWM,SAWMILL,10200,37.16196442,-118.5625916,BISHOP,9,11001,702,702,702,999,0,INYO,OWENS RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,SOUTH LAHONTAN,"3,4,9,10,12,14,18,30,31,32,82,246,247"
TCC,TAHOE CITY CROSS,6750,39.171439,-120.154658,TAHOE CITY,8,10601,54,54,54,13,0,PLACER,LAKE TAHOE,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,82"
TK2,TRUCKEE 2,6400,39.3,-120.194,TRUCKEE,8,10501,54,54,54,14,0,PLACER,TRUCKEE RIVER,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,82"
TMR,TAMARACK SUMMIT,7550,37.16374969,-119.200531,SHAVER LAKE,6,9001,50,702,50,999,0,FRESNO,SAN JOAQUIN RIVER,US Bureau of Reclamation,SAN JOAQUIN RIVER,"2,3,4,14,16,18,30,31,32,45,82"
TNY,TENAYA LAKE,8150,37.837581,-119.449875,TUOLUMNE MEADOWS,6,8701,702,702,702,0,0,MARIPOSA,MERCED RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,SAN JOAQUIN RIVER,"2,3,4,9,10,12,14,16,18,30,31,32,77,78,82,96,97,98,99,103,104,105,106,107,108,115,194,195,196,197,198,199"
TUM,TUOLUMNE MEADOWS,8600,37.876406,-119.348096,TUOLUMNE MEADOWS,6,8601,702,702,702,0,0,TUOLUMNE,TUOLUMNE RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,SAN JOAQUIN RIVER,"1,2,3,4,5,9,10,12,14,16,18,20,25,26,27,30,31,32,45,52,82,103,104,105,106,115,146,194,195,196,197,198,199,208"
TUN,TUNNEL GUARD STATION,8900,36.366349,-118.289116,LONE PINE,7,9701,702,702,702,0,0,TULARE,KERN RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,TULARE LAKE,"2,3,4,9,10,12,14,18,30,31,32,82"
UBC,UPPER BURNT CORRAL,9700,37.1832962,-118.9382935,,7,9401,702,702,702,999,0,FRESNO,KINGS RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,TULARE LAKE,"3,4,9,10,12,14,18,30,31,32,82,246,247"
UTY,UPPER TYNDALL CREEK,11500,36.647183,-118.397283,LONE PINE,7,9701,56,361,56,0,0,TULARE,KERN RIVER,US Army Corps of Engineers,TULARE LAKE,"3,4,14,18,30,31,32,82"
VLC,VOLCANIC KNOB,10050,37.38785934,-118.9050369,LAKESHORE,6,9001,50,702,50,999,0,FRESNO,SAN JOAQUIN RIVER,US Bureau of Reclamation,SAN JOAQUIN RIVER,"3,4,9,10,12,14,18,25,30,31,32,73,82,246,247"
VRG,VIRGINIA LAKES RIDGE,9300,38.077,-119.234,BRIDGEPORT,8,10801,54,54,54,19,0,MONO,WALKER RIVER,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,45,82"
VVL,VAN VLECK,6700,38.943947,-120.306058,ICE HOUSE,5,7701,999,999,85,17,0,EL DORADO,AMERICAN RIVER,Sacramento Municipal Utility District,SACRAMENTO RIVER,"2,3,4,30,31,32,82"
WC3,WARD CREEK 3,6750,39.135574,-120.218678,TAHOE CITY,8,10601,54,54,54,13,0,PLACER,LAKE TAHOE,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,82"
WHW,WHITE WOLF,7900,37.859445,-119.651607,GROVELAND,6,8601,999,999,55,0,0,TUOLUMNE,TUOLUMNE RIVER,National Park Service,SAN JOAQUIN RIVER,"2,3,4,9,10,11,12,13,14,16,18,30,31,32,45,77,78,82,103"
WTM,WET MEADOWS,9039,36.349633,-118.571667,QUINN RS,7,9701,56,361,56,0,0,TULARE,KERN RIVER,US Army Corps of Engineers,TULARE LAKE,"3,4,18,82"
WWC,WEST WOODCHUCK MEADOW,9100,37.031033,-118.914783,PIEDRA,7,9401,56,361,56,0,0,FRESNO,KINGS RIVER,US Army Corps of Engineers,TULARE LAKE,"3,4,18,30,31,32,82"
